hash_name	transcription	age	gender	first_language	socioeconomic_bkgd	ethnicity
01ad9423420ab951b5dc877d66bb9cc8	hey facebook take photograph of me	31 - 45	male	English	Low	Black or African American
2d526b87a5d54d02d9c06bc82ea5daea	i would simply look at the phone as it rings until the call hangs	23 - 30	female	English	Low	Black or African American
4cac571619af1e8130a6d52032bd337f	show me all akon songs	31 - 45	male	English	Low	Black or African American
a5c4cf58865d5185c0d08b830d3209b3	hey facebook can you read me my latest um message on messenger	18 - 22	male	English	Low	White
602599bf85ffb35a1e10b7d9d426971f	hey facebook show online	18 - 22	female	English	Low	White
8630523d32dd6263949d100eabbad191	play me break my soul by beyonce	31 - 45	male	English	Low	Black or African American
5a1b87f7b62605948ceffdca04ba666d	reply to adam that's great i'm so glad that you're you guys are expecting a child that's great news	31 - 45	male	English	Medium	Native American, American Indian, or Alaska Native
ded71124e889c893c31b8643a6a97bed	hey facebook please hold my current call and switch me to the incoming call	23 - 30	female	English	Low	Native American, American Indian, or Alaska Native
358d9319f17d144b5995b26260cbfaae	hey facebook i need the text messages from daniel	46 - 65	female	Other	Medium	Hispanic, Latino, or Spanish
8a052e41fb1575d03d97565af594d025	hey facebook ignore thread	46 - 65	female	English	Low	White
fd373e5f56ecf4b259407e34e246fe69	hey facebook play my playlist folk rock on spotify	46 - 65	female	English	Low	White
fc4816091f5838eb75d89a3a79b3d4f9	which singer sings this song	18 - 22	female	English	Low	White
f91527b611527cecdd22054ab7bbadeb	hey vivian it's been a while	23 - 30	male	English	Low	Black or African American
358172676d6d44a0f0cc5a10d912f05e	hey facebook unmute all notifications on my device	31 - 45	male	English	Low	Black or African American
f66cf2cfcd31d191a1944c1791c1d363	hey facebook delete video	31 - 45	female	English	Low	Asian, South Asian or Asian American
50b8962612cdc44c6e988995df3ffe9b	hi tosin i just remember to tell you that i'll be going out this evening	31 - 45	male	English	Low	Black or African American
093888a61f51086862547b41f8f742c9	hey i'm so excited because i learned about some theory of big bang theory	31 - 45	female	Spanish	Medium	Hispanic, Latino, or Spanish
6bf71d8c275540d45baace8f8ab68759	hey facebook turn off my announcements	46 - 65	female	English	Medium	Native American, American Indian, or Alaska Native
869efd067637e45df404fb3443fe4d31	hey facebook how is your day going	31 - 45	female	Spanish	Low	Hispanic, Latino, or Spanish
accfca91608bdbb4cb2f6848d90453b2	hey facebook please send a text message to john karen and wayne	46 - 65	male	English	Low	White
50e4c59cad2581b78ede165c942fe83d	send message to emmanuel make preparation for today's weekend	18 - 22	male	English	Affluent	Black or African American
3a33736b9ed8c1c55069270cfade2b9d	reply juan's message on facebook i apologize but i'm not gonna be able to make it today to the party because i am sick with covid	23 - 30	female	Spanish	Low	Hispanic, Latino, or Spanish
f0731a8c9ff46b9362d2ed9374bd7ecb	text wanda there's a new cafe opened on main street you wanna go check it out	23 - 30	female	English	Low	Middle Eastern or North African
0740d39fedb0376f1a7af713fd2a8f43	hey facebook give dad a call	23 - 30	female	English	Low	Native Hawaiian or Other Pacific Islander
3d67607460ac4e857099c3586d9dc4ed	hey facebook start recording video	46 - 65	female	English	Medium	Black or African American
a15d79a5a517035dcc16ef74b11ce860	hey facebook upload that video to my instagram and say oh yeah	31 - 45	female	English	Medium	Native American, American Indian, or Alaska Native
5a831efeeb0285235729fab998e4e753	hey facebook please stop the music playing	31 - 45	female	English	Medium	White
f77ac2d38a4c078e6591a8f46e92a875	the restaurants here are nice but they get a little pricey	18 - 22	male	English	Low	White
90ddf3f732c3cecb64a0b8f75bdcde4b	hey facebook please remove my notification from silent	31 - 45	male	English	Low	Black or African American
d782921b9c5d1a18e9b3c027f3b46591	hey facebook send a message to three two one six five four nine eight seven	23 - 30	male	Spanish	Low	Hispanic, Latino, or Spanish
466416862e7d58a69faca0322794c5f2	taylor swift midnight's album	18 - 22	female	English	Low	White
feb4f9bd8950e6d241b3956e1a3ac3d5	please search by artist	18 - 22	male	English	Low	Hispanic, Latino, or Spanish
84342f6407e5ad310c55b49562eaddd9	hey facebook call john smith	46 - 65	male	English	Medium	Asian, South Asian or Asian American
e379c382036f2383f94a233e47555f45	get me pop song	31 - 45	male	English	Low	Black or African American
13ebf0f9a657814f4b23624ccfd054db	can you search for mariah carey song	31 - 45	male	English	Medium	Black or African American
d65299edb0c8dec74d0fcc592ea20bfb	text heather about last concert	31 - 45	female	English	Low	White
8512659015db90c29f1ceecb39b95023	send a message to my sister and ask her where that little black dress was that she borrowed from me uh thanksgiving	31 - 45	female	English	Medium	Asian, South Asian or Asian American
674f92f1b1dc0b7d770b550ee0159452	hey facebook take a picture in low lighting	23 - 30	female	English	Low	Native Hawaiian or Other Pacific Islander
ed2112bf871baf2d1fd1b903ca64ae38	send message to best friend yes i'm packing right now i'm going on a trip to hawaii	18 - 22	female	English	Low	Asian, South Asian or Asian American
1044b501d44de08014a521691c19e80d	text mom tell her i've got to go now i just got here but i'll talk to you later	31 - 45	male	English	Low	White
9657533178267944632a21c31aae5506	this song is something i don't like	31 - 45	male	English	Low	Asian, South Asian or Asian American
0973b497920016f59c14a80a856a2b17	send a text message to emmanuel on my contact list i'll be traveling next sunday	18 - 22	male	English	Medium	Black or African American
6e2407833ffdaa19f6a0477b6d0a0edf	can you send a message to my girlfriend and tell her that i love her	23 - 30	male	English	Low	Native American, American Indian, or Alaska Native
3b62b0d9f0247f52d8a303b08e52dbe5	add this song to my happy playlist	31 - 45	female	English	Medium	Asian, South Asian or Asian American
f9c7564de0d9623bb28caa37f62bc239	hey facebook switch my status back to available	23 - 30	male	English	Low	Hispanic, Latino, or Spanish
3cdebf15f009a2ac14b6afcf09b91755	hey facebook upload this picture	31 - 45	male	English	Medium	Native Hawaiian or Other Pacific Islander
f457b980dbcdfb41191c8e65256d6e50	hey facebook turn off do not disturb	18 - 22	female	English	Low	Black or African American
b9b61596eaba6ce1e1265357f770e48e	hey facebook start a video recording	31 - 45	female	English	Medium	Hispanic, Latino, or Spanish
6f51b02b64096c770c0df283504e6d1d	hey facebook can you turn down the music hey facebook we're gonna turn the music down	23 - 30	female	English	Low	Native American, American Indian, or Alaska Native
dd4ceff51282ffec915dc723e5df0a29	tell me the title of this song	31 - 45	female	Indonesian	Medium	Asian, South Asian or Asian American
646476ccb1600967617ac069225bd38d	hi love i was just talking to my friend and we were just discussing random things and she just mentioned the fact that it is impossible for most people to touch their elbows with their tongue and i found it so funny let's try it with the kids tonight and see if any of us can touch our elbows with our tongue bye	31 - 45	female	Hindi	Affluent	Asian, South Asian or Asian American
38757de60744c1d354705f88c8d03e1a	we look so good in those high school graduation pictures	46 - 65	male	Spanish	Medium	Hispanic, Latino, or Spanish
926ce7e66f1a7000debacede8833c908	open spotify and get me my gym playlist	31 - 45	male	English	Medium	Middle Eastern or North African
259a7d94c92b1ad10f5de2ac463803b1	play beyonce on iheartradio	31 - 45	male	English	Medium	Black or African American
b66bd506da0009c76e20873a8f692681	hey facebook stop video recording app	46 - 65	female	English	Medium	Native Hawaiian or Other Pacific Islander
6725ed93a8566f02aae810f6920466e8	hey facebook unmute notifications	23 - 30	female	English	Low	Black or African American
4122da0e0b350d80fbdb5fcadb7ebc49	replay music now	31 - 45	male	English	Medium	Black or African American
96ce0c2debfa8656fe16d30187d683df	hey facebook set my status uh to available	31 - 45	male	English	Low	Native American, American Indian, or Alaska Native
543682c2f4ef018fc144d9761814453e	hey facebook show me my latest incoming text message	18 - 22	male	English	Medium	White
8189b43156f6467d5ee3dba724a8e379	hey facebook share this video	18 - 22	male	English	Low	White
888e1b6bdf5c1bb9c4f5ba4066d23603	hey facebook answer the call from my mother	46 - 65	female	English	Affluent	White
3758368f1b29281bf8e41989d05120d8	hey facebook toggle a video call for me	31 - 45	male	English	Low	Black or African American
067bd7948d04734e9e7bc14917f18fdf	hey facebook replay song	31 - 45	male	Indonesian	Low	Asian, South Asian or Asian American
2914b956eedecbd2018ff3a992ab3b89	send message i'm home	31 - 45	female	English	Medium	White
648823d4efef686645e72064266d81ce	play the song rumor has it by adele	23 - 30	female	Spanish	Low	Hispanic, Latino, or Spanish
b61a6852c617daae2fb32ee8403c61e5	like this song please	31 - 45	female	English	Affluent	Native American, American Indian, or Alaska Native
e2ec37304cf99bf4cddffac0ae9b4027	hey facebook mark this email thread as spam	31 - 45	female	Tagalog	Medium	Asian, South Asian or Asian American
1c80fc463d1f4f9d26b0419748f264ad	hey facebook can you mute this notification	31 - 45	male	French	Affluent	White
b5cabc6e90c595f6c6ffde6c5d8ca07d	turn volume up to five	23 - 30	female	English	Medium	Native American, American Indian, or Alaska Native
d067723b0ca677306b5ce5f33f989aaa	send a message to alicia suggest names like caroline amanda harry and kimberly they are nice names for a baby	46 - 65	male	English	Low	Black or African American
14e6f823363f6ae80960eea6d2b542e5	hey facebook reply got it i'll call you later	23 - 30	female	English	Medium	Hispanic, Latino, or Spanish
625118309a00294b374606e7bc852adb	hey facebook alert me whenever i receive message from my closest contact	31 - 45	male	English	Low	Black or African American
25bf7dda32dc3766475fbd06c7729226	hey can you pause what is currently playing	18 - 22	female	English	Low	Asian, South Asian or Asian American
1677171e63128f90010d593518647824	hey facebook decline call	31 - 45	female	English	Medium	Native American, American Indian, or Alaska Native
8730fe16cd842a9ecb42b38d58348038	send a text to my sister message is i'll meet you at the restaurant stop text my daughter ask her what's for dinner text my son and tell him to bring wine and cheese period text my husband and let him know i'm on my way text my friend and let her know i'll see her soon text my mom ask her what's for dinner text my friend and tell her i'm on my way	46 - 65	female	English	Low	Black or African American
a053affc661848752358dbcd71b89c51	hey facebook change my status to available and send message to sam's phone	31 - 45	female	English	Low	Asian, South Asian or Asian American
7709806fb9c2093bcc701c2abbb8e56d	hey facebook volume down	18 - 22	male	English	Medium	Native American, American Indian, or Alaska Native
40b5d277295280f08fcccddb269d142f	reply yes it's so amazing we just bought our first home	31 - 45	female	Hindi	Affluent	Asian, South Asian or Asian American
fa8f27cde79073239e5a972b756ba025	hey facebook ignore text from party group	46 - 65	male	English	Medium	White
2b8a16bfcb2d3ed22f27f96d0983d890	text message mom will she pick up kids i'm running late	31 - 45	female	English	Low	Native Hawaiian or Other Pacific Islander
d9e02e2a876b40ea0d1165819d3f1095	can you send a message to my cousin joy and tell her how much i miss her and that i wish we could go to busch gardens again so that we can have some fun and enjoy our lives together hopefully you're doing well and i really wish that i could give you a hug right now because life has been really hard and you always seem to be there for me when times get rough see you soon love you	23 - 30	female	English	Low	Asian, South Asian or Asian American
7fdacd95b17b557842a992ad13f03351	hey facebook please what is my phone volume level	31 - 45	male	English	Medium	Black or African American
cf8cf0a561cb9a13cd523555c4b43614	hey facebook set my status to available for an hour	31 - 45	female	English	Low	Native American, American Indian, or Alaska Native
67c13377d9233619c1b3537f99812f68	hey facebook set volume to eighty-five percent	31 - 45	male	Tagalog	Low	Asian, South Asian or Asian American
630fba295ba54664d09ca6b50009644c	bring out my playlist on spotify	31 - 45	male	English	Low	Black or African American
7166dd06b8e89ea8b4892c7e3387c5a7	hey facebook fast forward music	31 - 45	female	English	Low	Native American, American Indian, or Alaska Native
672d156e98272b6eb7ba28c60559a4d9	hey facebook turn the volume down	46 - 65	female	English	Low	Asian, South Asian or Asian American
3f47a24b3e5ac949f1813bb4d11061fc	reply to mom in group chat i know it was the best thing i've ever seen	31 - 45	female	English	Low	Native American, American Indian, or Alaska Native
039839b42eda7f0f63cb2fa5bbe27d99	hey facebook switch andrei call	31 - 45	male	English	Medium	Black or African American
c6ba74330749e829b659c82e3555af3a	hey facebook ignore that message from sarah	18 - 22	female	English	Low	Black or African American
a2ad3b7d0c0a979afa5c866bc2cf58df	unlike this song	31 - 45	male	English	Affluent	Native American, American Indian, or Alaska Native
f4715da75d4535ffa3af7aee6c94c382	who sings this song	31 - 45	male	English	Low	Native American, American Indian, or Alaska Native
8f5c1182bec353ba2196c54f2db16cd0	hey facebook add tim to call please	31 - 45	female	English	Low	Asian, South Asian or Asian American
1c2536e529f7e5c8207e18b57fc54bd9	delete the current music	31 - 45	male	English	Low	Black or African American
bda25d6da1d2a4ef7e529f5c812fb1dc	hey facebook	23 - 30	male	English	Low	Native American, American Indian, or Alaska Native
efb57a5bcbbf039840cda137e37c835b	write message i just arrived but i can't see you are you the girl with the yellow dress i am raising my hand can you see me	31 - 45	female	Spanish	Low	Hispanic, Latino, or Spanish
b2da2619b8c9c59f8801bc4ac6c75adf	hey facebook set status to in meeting	46 - 65	female	Urdu	Low	Asian, South Asian or Asian American
42391c29b238913ddc504b76519cafb4	hey facebook text diana you are so crazy girl	31 - 45	female	Spanish	Medium	Hispanic, Latino, or Spanish
06dc63fd169e644b33f55abec2c71a7e	unlike all the rap song	31 - 45	male	English	Medium	Black or African American
c1075e85293e4c2a8dfe87663c5186b7	send text my hands are busy now i will write back in a few	46 - 65	male	English	Medium	White
89d6027e0d8c29ef3966610936b477eb	locate in playlist	18 - 22	female	English	Low	Middle Eastern or North African
599d44f69b81a29ae72b920586760b9b	hey facebook replace my online status with available	31 - 45	female	Tagalog	Medium	Asian, South Asian or Asian American
517d0f43099cf9edae534f12ff9026a4	send text message to chris greene what time did you want to meet up at  route sixty six o'clock ok question mark i'd love to have a beer exclamation point	31 - 45	male	English	Low	Native American, American Indian, or Alaska Native
ac424d2bdea0ea09d0946a3d3efe0a02	stop all notifications	31 - 45	female	Spanish	Medium	Hispanic, Latino, or Spanish
34f3f41c507257a2212e08cbdd0d24c3	hey facebook turn down the volume to thirty	18 - 22	female	English	Low	Asian, South Asian or Asian American
e52a383543d6b8995586ee73b119d1b6	hey facebook i am finally a wake	31 - 45	female	English	Low	Asian, South Asian or Asian American
8b29b64e00a5f3d02ad290d979af16fd	reply with message yeah we should plan a trip again	18 - 22	female	English	Medium	Native American, American Indian, or Alaska Native
3835824a4ff54dd89641c47187e6b70a	confirm afternoon coffee today at four pm	31 - 45	female	English	Low	White
a50debc99b08e19a94445e371338e0fe	send message that i cannot attend i don't feel well	46 - 65	female	English	Low	White
1c2249923085c7733849dd9db3e011ff	send text message i had an interesting conversation with one of my coworkers today at work	31 - 45	male	English	Medium	Native American, American Indian, or Alaska Native
c6793448478573efaa8228f50f5392c7	hey facebook add this current number	31 - 45	male	English	Low	Black or African American
5ec16734ef0525f659c78bff2f5bdb14	show me usher raymond song on iheartradio	31 - 45	male	English	Low	Black or African American
189ce62e72a00bb9c95be411873398eb	hey facebook start whatsapp call right now	31 - 45	male	English	Low	Black or African American
96ef143409015ecf3025ef46b7b710e7	hey facebook share this photo on my facebook story	31 - 45	male	English	Medium	Black or African American
dfa81d1ada2daf3c001eecaeb29b3caa	hey facebook group message read who the friend list is	46 - 65	female	English	Low	White
80aefe51b8e920ecd80e2f62a173ee8f	add one piece to my anime playlist	31 - 45	female	Other	Low	Asian, South Asian or Asian American
0c23592db3a61d5da4bb0a32ccf86362	hey facebook we are at gilligan's and we are waiting for you	46 - 65	male	Dutch	Low	White
c9ac35bd6f81fa0dd7b42030f67f4946	send text message that i had a really nice time at the museum and i think we should all go there together	46 - 65	female	English	Low	White
58ae06af35c2166e81608101d2ca8dad	please call tommy steiger on facebook messenger	46 - 65	female	English	Medium	Native American, American Indian, or Alaska Native
516ec3b527742aac20265ccd698ef444	cool song who sing this song	31 - 45	male	English	Low	Black or African American
793d57d8995d94f58fec69f6ef63715c	hey facebook can you change my status to available	31 - 45	female	English	Low	Black or African American
4ffb7becf133903a711a223f1f4f5c70	i really like planning my to-do list do wanna have leaves right now is to cook food	31 - 45	male	English	Medium	Black or African American
66788c1e526d008d323375d204a59757	hey facebook take and save a photo now	31 - 45	male	English	Low	Black or African American
72c8fe88e5fb8fa594b5f51cab6358b0	hey facebook call amanda davis	46 - 65	female	English	Low	Black or African American
6de9a0420ae5e5c2b9f6060512c39b53	can you tell me what song this is	46 - 65	female	English	Low	White
fd8093928fdb05234ad64a2122da20c3	hey facebook on whatsapp could you set my status to not busy	18 - 22	female	English	Low	Hispanic, Latino, or Spanish
393ed566ef50fdd433ccd6b84ab52115	i had to wait over an hour for my lunch	46 - 65	female	English	Medium	White
c122201237529c6f58905a9d4d981d47	show me michael jackson's greatest hits	18 - 22	male	English	Medium	Native American, American Indian, or Alaska Native
fde69c5f6c59c06ec8b3b9c8d1a330c0	hey facebook turn off music	18 - 22	female	English	Low	Middle Eastern or North African
30dec7b962063983d9f203c01fd622ad	hey facebook share video on my instagram story to my close friend	31 - 45	male	English	Low	Black or African American
cab96fcebe9a84ac5f427ff69c11bb06	i don't like this song	23 - 30	female	English	Low	Native American, American Indian, or Alaska Native
c0c6ea7c32eabfe82d056964c8d18cc6	god gives and it takes just take heart	31 - 45	male	English	Low	Black or African American
1a6d77bd012a512576e5d264bc00d9d2	i am just on my way to pick you up so where are you waiting for me to meet you	31 - 45	male	English	Medium	Black or African American
95f945f7f2e8450eecfce17347b21f0e	reply to johnny when are you coming dude	31 - 45	male	English	Medium	Native American, American Indian, or Alaska Native
298ce59e310e4bf1c145786c80775dfc	i can't come to the place	31 - 45	male	English	Medium	Native Hawaiian or Other Pacific Islander
7767fd065bb6368be191dfd010d21c25	thanks for the invite but i'll have to take a rain check	23 - 30	female	English	Medium	Native American, American Indian, or Alaska Native
ca8fdde44cac163ddb3cc54efd3e3033	hey facebook change online status to be available	31 - 45	male	English	Medium	Black or African American
5b75406340fc2dc0a7f13bdd01001dc5	hey facebook reply to charles mark i am not coming	23 - 30	female	English	Low	Black or African American
6de8ed580f134885857f9610c536c1c7	i'm sorry i'm running a little late it's too much traffic here	31 - 45	female	Spanish	Low	Hispanic, Latino, or Spanish
88035921b581eb73fd8e9dd1687b2299	hey facebook pickup this call	31 - 45	male	English	Low	Hispanic, Latino, or Spanish
62b069da62aaf2b539714096f7b67b17	what song has the lyrics that say welcome back welcome back	23 - 30	male	English	Low	Black or African American
07f17928dfb6bfed9c116ca613fb9d79	please send a text message to my mom and marsha	46 - 65	male	English	Low	White
3fa1e6f2877fde5492e850bc867747e7	hurray hurray hurray happy birthday to you i really wish you well and i wish you well so much	31 - 45	male	English	Medium	Black or African American
0526ad85f1c61b72592c8c432eba79fd	hey facebook ignore all incoming call on my sms i'm busy right now	31 - 45	male	English	Medium	Black or African American
0af9d8f39b5c5bec9f22a655dd47882f	music stop	46 - 65	male	English	Medium	Black or African American
fb0ee9c9cfa2c4b9acfb66bd3397f749	hey facebook lower volume to fifty percent	31 - 45	female	English	Low	White
91f332bb7e8119400e42917b36c90987	hey facebook lower the volume	46 - 65	female	Nepali	Low	Asian, South Asian or Asian American
ce33d06e6ccb48731313afbdc9d759f7	hey facebook put a call thru to the girls via whatsapp	23 - 30	female	English	Low	Black or African American
6e0ce65d7a4a90b5c45c063262410199	hey facebook reply with three rofl emojis and a crying laughing face	23 - 30	female	English	Low	Middle Eastern or North African
36086094667949d92603d9c4e4d5736d	hey facebook start recording	31 - 45	male	English	Medium	Black or African American
675eb7e01b985abe26a099cdb911bedb	send text i'm so excited right now can't believe we planned this whole thing like this party is huge so many people are coming or wanted to come like do we have enough room in our house oh my gosh friends probably going to cry because dang like it just means so much they've done so much for all of us and they sacrifice so much and this is just a fraction of what they've done that we're giving for them we got so many gifts and things that i highly doubt is enough to just tell them that they are amazing anyways it's supposed to be about the party but i ended up rambling about our friend haha yeah that was an accident um see you soon come here quickly so that we can start planning more about the party end text	23 - 30	female	English	Low	Native American, American Indian, or Alaska Native
1f8a5fdbf94f70faaf02d031b52a2398	text friend sorry that they're feeling sad	31 - 45	female	English	Low	Native Hawaiian or Other Pacific Islander
47c883724a58376e50277878fc2f361a	save this song playing right now	31 - 45	female	English	Medium	Hispanic, Latino, or Spanish
9d3a43d8ee1006025d04a9e45dc68c82	i need to make a phone call to my best friend	23 - 30	male	English	Low	Asian, South Asian or Asian American
199c1687a66025c41819310bff37fbe3	hey facebook please share the last video to my story	23 - 30	female	English	Low	Asian, South Asian or Asian American
7602dfbbbdf9636ca97ee521f83aa5e3	i would simply ask siri to send a text message to so and so and then i would record	46 - 65	female	English	Low	Native American, American Indian, or Alaska Native
fce9ffcbda80023144838608a23e499f	send text i've just got repairing the dishwasher i'll call you later	46 - 65	male	English	Medium	White
3d2f24accf50c67deac88bfe1c702232	look for baby music station in pandora	31 - 45	female	Spanish	Medium	Hispanic, Latino, or Spanish
0a6d4af1759d20538fea3e4cc62f2f07	did you know that you can't tickle yourself and make yourself laugh because you're already anticipating your surroundings that's the reason why you're always trying to anticipate unexpected sensations	31 - 45	female	English	Low	Native Hawaiian or Other Pacific Islander
3f6bcd1e06b333402adf2f1da7212a39	hey facebook block incoming text messages from craft group friends on whatsapp	46 - 65	female	English	Medium	Native American, American Indian, or Alaska Native
6fb3c615f3b505233a648ff4d011737d	hey facebook send a happy face emoji to lisa ann	46 - 65	female	English	Low	White
dd7304d5d19efb3a7e997ee999175696	i'm surprised my ex is not pregnant so this is the gist that i've been hoping to tell you soon	31 - 45	male	English	Medium	Black or African American
d98cca085adc5967b8ab952f0070a5e2	add this album to my playlist	18 - 22	female	Marathi	Low	Asian, South Asian or Asian American
d27f60e13d6273679fc5064f374f7f6b	hey facebook switch to conference call	31 - 45	male	English	Medium	Black or African American
99e61ce1d1a0cd4ee461a9f3fbbe6bec	send message to the girls hey girls so there's going to be a surprise party for baby this weekend and i would like all of you to be there so it's going to be more fun and interesting please ensure that you all come looking dashing as always send message	18 - 22	female	English	Low	Black or African American
9a6b3d1513f80ad91d4093155edbef8c	hey facebook remove mom from the call	18 - 22	male	English	Low	White
3b32f7ca32989bd80d7cd9c9ac54d3d5	hey facebook please turn off notifications for the next forty-eight hours	18 - 22	male	English	Low	Black or African American
a22b5945aa85beb4ee8e75419947bc30	hey facebook share a photo saved with anna one zero dot jpg in photo folder to my instagram story	31 - 45	male	English	Medium	Black or African American
874fdd4b88b260891ecc94455ca7bf07	hey facebook take a picture using time delay of ten seconds	23 - 30	female	Spanish	Low	Hispanic, Latino, or Spanish
6762a3b6ffc6125c376a62d0117af096	hey facebook how much battery is left	31 - 45	female	Russian	Low	White
f63a4e38a0a392cce4660b30a935142b	can you please tell me the ingredients for cooking barbecue	31 - 45	male	English	Medium	Black or African American
a34697d567bc8381c1c5601cbc16c202	hey facebook put my online status to available on facebook	31 - 45	male	English	Medium	Black or African American
c85bf892906e31ad92262273d02ad0ec	hey facebook please lower the volume of my smartwatch	31 - 45	male	English	Low	Black or African American
a628ac54564abf9c7c60ab9f810340cb	please can you tell me the hours drive from texas to alabama	31 - 45	male	English	Medium	Black or African American
fb97912e3cdee7df1d4467663fc3b583	will be available in two hours for the coffee	31 - 45	male	English	Medium	Black or African American
dcb34cfdfa61c59dac218279248c8d63	hey facebook receive announcements	46 - 65	female	English	Affluent	Native American, American Indian, or Alaska Native
